Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3
-43.41,681,-720,2.5083264,29,662,-2.467379583,-29,673
-43.32,679,-720,2.664990903,31,666,-2.807196342,-33,673
-43.41,683,-722,2.500780806,29,664,-2.460077824,-29,675
-43.16,679,-724,2.515917637,29,660,-2.460077824,-29,675
-43.25,681,-724,2.681070141,31,662,-2.460077824,-29,675
-43.41,683,-722,2.321525161,27,666,-2.452819127,-29,677
-43.33,683,-724,2.681070141,31,662,-2.297404549,-27,673
-43.34,685,-726,2.836653468,33,666,-2.133724144,-25,671
-43.33,681,-722,2.836653468,33,666,-2.283844936,-27,677
-43.33,683,-724,2.673006359,31,664,-2.452819127,-29,677
-43.16,679,-724,2.673006359,31,664,-2.452819127,-29,677
-43.49,685,-722,2.862398533,33,660,-2.445603114,-29,679
-43.33,683,-724,2.169252517,25,660,-2.798891969,-33,675
-43.24,679,-722,2.836653468,33,666,-2.297404549,-27,673
-43.25,683,-726,2.500780806,29,664,-2.297404549,-27,673
-43.25,681,-724,2.681070141,31,662,-2.621750637,-31,677
-43.25,681,-724,2.500780806,29,664,-2.467379583,-29,673
-43.48,681,-718,2.673006359,31,664,-2.277124944,-27,679
-43.24,679,-722,2.515917637,29,660,-2.283844936,-27,677
-43.57,683,-718,2.664990903,31,666,-2.6295079,-31,675
-43.32,679,-720,2.664990903,31,666,-2.290604686,-27,675
-43.32,679,-720,2.681070141,31,662,-2.637311171,-31,673
-43.16,679,-724,2.328510021,27,664,-2.460077824,-29,675
-43.24,679,-722,2.500780806,29,664,-2.114830986,-25,677
-43.49,683,-720,2.321525161,27,666,-2.467379583,-29,673
-43.32,677,-718,2.871084297,33,658,-2.637311171,-31,673
-43.49,683,-720,2.515917637,29,660,-2.467379583,-29,673
-43.41,681,-720,2.681070141,31,662,-2.283844936,-27,677
-43.57,683,-718,2.5083264,29,662,-2.297404549,-27,673
-43.4,679,-718,2.836653468,33,666,-2.290604686,-27,675
-43.4,679,-718,2.335537016,27,662,-2.290604686,-27,675
-43.41,681,-720,2.871084297,33,658,-2.460077824,-29,675
-43.41,681,-720,2.342606528,27,660,-2.290604686,-27,675
-43.24,677,-720,2.318048413,27,667,-2.452819127,-29,677
-43.56,681,-716,2.335537016,27,662,-2.621750637,-31,677
-43.24,677,-720,2.515917637,29,660,-2.283844936,-27,677
-43.73,683,-714,2.673006359,31,664,-2.283844936,-27,677
-43.56,681,-716,2.515917637,29,660,-2.467379583,-29,673
-43.4,679,-718,2.681070141,31,662,-2.460077824,-29,675
-43.41,681,-720,2.500780806,29,664,-2.637311171,-31,673
-43.4,677,-716,2.5083264,29,662,-2.290604686,-27,675
-43.32,679,-720,2.523554932,29,658,-2.467379583,-29,673
-43.32,679,-720,2.342606528,27,660,-2.807196342,-33,673
-43.31,675,-716,2.515917637,29,660,-2.277124944,-27,679
-43.56,681,-716,2.681070141,31,662,-2.290604686,-27,675
-43.56,681,-716,2.673006359,31,664,-2.637311171,-31,673
-43.32,679,-720,2.335537016,27,662,-2.621750637,-31,677
-43.56,681,-716,2.5083264,29,662,-2.798891969,-33,675
-43.32,679,-720,2.689182688,31,660,-2.452819127,-29,677
-43.48,681,-718,2.515917637,29,660,-2.460077824,-29,675
-43.49,683,-720,2.328510021,27,664,-2.637311171,-31,673
-43.32,677,-718,2.169252517,25,660,-2.6295079,-31,675
-43.49,683,-720,2.673006359,31,664,-2.460077824,-29,675
-43.32,679,-720,2.335537016,27,662,-2.460077824,-29,675
-43.48,681,-718,2.697344442,31,658,-2.283844936,-27,677
-43.56,681,-716,2.156197103,25,664,-2.467379583,-29,673
-43.33,681,-722,2.689182688,31,660,-2.637311171,-31,673
-43.56,681,-716,2.705555852,31,656,-2.6295079,-31,675
-43.48,681,-718,2.523554932,29,658,-2.467379583,-29,673
-43.49,683,-720,2.175839662,25,658,-2.452819127,-29,677
-43.33,683,-724,2.689182688,31,660,-2.467379583,-29,673
-43.41,685,-724,2.689182688,31,660,-2.6295079,-31,675
-43.25,681,-724,2.342606528,27,660,-2.290604686,-27,675
-43.41,683,-722,2.5083264,29,662,-2.297404549,-27,673
-43.41,681,-720,2.335537016,27,662,-2.637311171,-31,673
-43.49,683,-720,2.349718944,27,658,-2.127389045,-25,673
-43.41,681,-720,2.515917637,29,660,-2.304244882,-27,671
-43.41,683,-722,2.681070141,31,662,-2.637311171,-31,673
-43.41,681,-720,2.515917637,29,660,-2.460077824,-29,675
-43.41,681,-720,2.5083264,29,662,-2.121091437,-25,675
-43.32,679,-720,2.335537016,27,662,-2.621750637,-31,677
-43.41,681,-720,2.500780806,29,664,-2.297404549,-27,673
-43.48,679,-716,2.493280445,29,666,-2.290604686,-27,675
-43.32,679,-720,2.523554932,29,658,-2.121091437,-25,675
-43.57,683,-718,2.697344442,31,658,-2.621750637,-31,677
-43.41,683,-722,2.328510021,27,664,-2.297404549,-27,673
-43.48,681,-718,2.5083264,29,662,-2.460077824,-29,675
-43.32,679,-720,2.531238705,29,656,-2.614038977,-31,679
-43.57,683,-718,2.697344442,31,658,-2.290604686,-27,675
-43.33,681,-722,2.5083264,29,662,-2.445603114,-29,679
-43.41,683,-722,2.5083264,29,662,-2.290604686,-27,675
-43.33,681,-722,2.349718944,27,658,-2.637311171,-31,673
-43.57,683,-718,2.673006359,31,664,-2.452819127,-29,677
-43.24,679,-722,2.523554932,29,658,-2.452819127,-29,677
-43.57,685,-720,2.681070141,31,662,-2.297404549,-27,673
-43.33,681,-722,2.871084297,33,658,-2.6295079,-31,675
-43.41,681,-720,2.328510021,27,664,-2.467379583,-29,673
-43.25,681,-724,2.335537016,27,662,-2.621750637,-31,677
-43.58,687,-722,2.523554932,29,658,-2.645160861,-31,671
-43.17,681,-726,2.681070141,31,662,-2.645160861,-31,671
-43.24,679,-722,2.335537016,27,662,-2.121091437,-25,675
-43.33,681,-722,2.342606528,27,660,-2.460077824,-29,675
-43.33,681,-722,2.162705117,25,662,-2.127389045,-25,673
-43.57,685,-720,2.705555852,31,656,-2.297404549,-27,673
-43.57,685,-720,2.523554932,29,658,-2.460077824,-29,675
-43.25,681,-724,2.681070141,31,662,-2.467379583,-29,673
-43.57,685,-720,2.673006359,31,664,-2.6295079,-31,675
-43.57,683,-718,2.681070141,31,662,-2.637311171,-31,673
-43.41,681,-720,2.156197103,25,664,-2.467379583,-29,673
-43.48,681,-718,2.5083264,29,662,-2.452819127,-29,677
-43.24,679,-722,2.85376512,33,662,-2.452819127,-29,677
-43.33,681,-722,2.342606528,27,660,-2.460077824,-29,675
-43.41,683,-722,2.342606528,27,660,-2.114830986,-25,677
-43.25,681,-724,2.169252517,25,660,-2.290604686,-27,675
-43.41,683,-722,2.175839662,25,658,-2.290604686,-27,675
-43.41,681,-720,2.673006359,31,664,-2.637311171,-31,673
-43.74,687,-718,2.862398533,33,660,-2.460077824,-29,675
-43.25,681,-724,2.5083264,29,662,-2.460077824,-29,675
-43.25,683,-726,2.523554932,29,658,-2.277124944,-27,679
-43.08,679,-726,2.356874655,27,656,-2.277124944,-27,679
-43.41,681,-720,2.335537016,27,662,-2.445603114,-29,679
-43.25,681,-724,2.523554932,29,658,-2.121091437,-25,675
-43.49,683,-720,2.515917637,29,660,-2.114830986,-25,677
-43.25,681,-724,2.335537016,27,662,-2.452819127,-29,677
-43.74,687,-718,2.175839662,25,658,-2.460077824,-29,675
-43.25,681,-724,2.85376512,33,662,-2.108607365,-25,679
-43.33,683,-724,2.515917637,29,660,-2.460077824,-29,675
-43.25,681,-724,2.515917637,29,660,-2.445603114,-29,679
-43.41,683,-722,2.689182688,31,660,-2.283844936,-27,677
-43.33,681,-722,2.5083264,29,662,-2.467379583,-29,673
-43.49,683,-720,2.689182688,31,660,-2.283844936,-27,677
-43.48,681,-718,2.697344442,31,658,-2.304244882,-27,671
-43.41,681,-720,2.169252517,25,660,-2.621750637,-31,677
-43.33,681,-722,2.523554932,29,658,-2.467379583,-29,673
-43.33,681,-722,2.515917637,29,660,-2.283844936,-27,677
-43.4,677,-716,2.5083264,29,662,-2.452819127,-29,677
-43.41,683,-722,2.515917637,29,660,-2.452819127,-29,677
-43.24,677,-720,2.493280445,29,666,-2.637311171,-31,673
-43.48,677,-714,2.500780806,29,664,-2.283844936,-27,677
-43.4,677,-716,2.335537016,27,662,-2.474724789,-29,671
-43.16,677,-722,2.705555852,31,656,-2.297404549,-27,673
-43.4,679,-718,2.689182688,31,660,-2.297404549,-27,673
-43.32,679,-720,2.169252517,25,660,-2.277124944,-27,679
-43.32,679,-720,2.697344442,31,658,-2.290604686,-27,675
-43.48,681,-718,2.515917637,29,660,-2.290604686,-27,675
