Angle1,x1,y1,x2,y2,x3,y3
-2.4,41,-978,13,916,-7,70
-2.68,46,-982,19,914,-5,76
-2.57,44,-980,11,912,-3,78
-2.9,50,-986,11,910,0,76
-2.57,44,-980,13,914,-3,74
-2.69,46,-980,13,914,-5,80
-2.57,44,-982,13,912,-3,70
-2.15,37,-984,15,914,-3,64
-2.81,48,-978,13,912,-3,72
-2.45,42,-982,13,914,-7,72
-2.27,39,-982,17,916,-5,74
-2.43,42,-988,17,916,-1,72
-2.39,41,-984,17,916,-3,70
-2.44,42,-984,13,917,-5,70
-2.57,44,-982,15,916,-7,68
-2.04,35,-984,11,916,-3,64
-2.45,42,-982,13,912,-5,72
-2.04,35,-982,17,916,0,64
-1.92,33,-982,17,914,-5,62
-1.81,31,-980,15,912,-5,62
-1.46,25,-982,23,916,-9,56
-2.04,35,-982,17,917,-9,64
-1.57,27,-988,13,914,-5,62
-1.57,27,-982,17,914,-9,58
-2.15,37,-986,17,916,-9,60
-2.44,42,-986,15,919,-5,68
-2.15,37,-984,11,912,-1,68
-2.04,35,-984,15,917,-5,64
-2.15,37,-984,17,917,-7,64
-2.05,35,-980,11,916,-3,64
-2.04,35,-982,13,916,-5,64
-2.04,35,-984,19,916,-7,60
-1.8,31,-984,19,916,-5,60
-1.81,31,-980,11,914,-5,58
-1.69,29,-984,11,917,-1,64
-1.92,33,-986,19,914,-5,60
-2.16,37,-982,15,916,-3,66
-2.15,37,-984,19,910,-5,62
-1.69,29,-984,13,914,-5,58
-1.81,31,-982,15,912,-5,62
-1.69,29,-982,9,914,-3,60
-1.92,33,-986,17,912,-7,62
-2.15,37,-986,15,916,-5,60
-2.04,35,-982,21,912,-5,58
-2.03,35,-986,17,914,-9,68
-2.27,39,-982,15,912,-9,64
-1.92,33,-986,15,914,-5,66
-2.15,37,-986,17,916,-3,64
-2.44,42,-986,13,914,-3,72
-2.16,37,-982,15,914,-11,66
-2.44,42,-984,17,912,-9,74
-2.04,35,-984,13,917,-9,64
-2.05,35,-980,15,914,-1,64
-1.92,33,-984,13,916,-1,62
-1.58,27,-980,15,912,-5,62
-1.69,29,-982,15,914,-7,58
-1.92,33,-984,13,914,-5,60
-1.81,31,-982,15,912,-13,56
-1.8,31,-984,17,914,-7,60
-2.04,35,-982,19,912,-13,58
-1.23,21,-982,17,914,-3,56
-1.57,27,-988,15,914,0,54
-1.22,21,-984,11,912,-3,50
-1.46,25,-984,13,917,-5,58
-2.04,35,-984,11,912,-5,62
-2.27,39,-984,13,916,-1,68
