Inclinometer Data Before Filtering,Filtered Data,Norm_Var,Filted Var
2.03686,2.12536,0.000522587,0.523739
1.90519,2.11835,0.00302597,0.509482
2.27625,2.12325,0.00155629,0.496107
2.15206,2.12412,5.18E-05,0.483539
2.15656,2.12507,6.57E-05,0.47171
2.2715,2.12929,0.00133835,0.460559
2.14312,2.12968,1.19E-05,0.450035
2.26207,2.13332,0.0010941,0.440088
2.27625,2.13717,0.00127521,0.430675
2.04112,2.13464,0.00057585,0.421756
2.15656,2.1352,3.00E-05,0.413297
2.2715,2.13865,0.00115962,0.405265
2.26677,2.14184,0.00102457,0.397632
2.04112,2.13938,0.000633219,0.390369
2.04112,2.13703,0.000602697,0.383454
2.03686,2.13467,0.000626294,0.376863
2.2715,2.13784,0.00116875,0.370577
1.91314,2.13272,0.00315158,0.364576
1.91314,2.12779,0.00300959,0.358843
2.02838,2.1256,0.000616893,0.353363
2.03686,2.12367,0.000491515,0.34812
1.90915,2.11907,0.00287246,0.343101
2.03686,2.11733,0.000421829,0.338294
2.03261,2.11556,0.000448002,0.333687
2.26677,2.11867,0.00142724,0.329268
2.16108,2.11953,0.000112261,0.325029
2.15206,2.12019,6.60E-05,0.320958
2.03261,2.11845,0.000478749,0.317049
2.03686,2.11685,0.000415546,0.313292
2.14312,2.11736,4.31E-05,0.30968
2.03686,2.11582,0.000404525,0.306205
2.2715,2.11877,0.00151286,0.302862
2.39592,2.12396,0.00479484,0.299643
2.15206,2.12448,4.93E-05,0.296543
2.02838,2.12272,0.000576467,0.293557
2.14759,2.12317,3.86E-05,0.290678
2.03261,2.12154,0.000511904,0.287903
2.2715,2.12421,0.00140378,0.285226
2.26677,2.12673,0.0012686,0.282643
2.16108,2.12733,7.37E-05,0.28015
2.03686,2.12576,0.000510927,0.277744
2.15206,2.12621,4.32E-05,0.27542
2.27625,2.12878,0.00140518,0.273175
2.26677,2.13111,0.00118867,0.271005
1.91713,2.12752,0.00285821,0.268909
2.03686,2.126,0.000513017,0.266882
2.15206,2.12644,4.24E-05,0.264921
1.91314,2.12293,0.00283988,0.263025
2.02838,2.12139,0.000558022,0.261191
2.2715,2.12382,0.00140664,0.259415
2.15656,2.12435,6.69E-05,0.257697
1.91314,2.12097,0.00278454,0.256033
2.39092,2.12526,0.00454898,0.254422
2.26677,2.1275,0.00125001,0.252862
2.27625,2.12983,0.00138126,0.25135
2.14759,2.13011,1.97E-05,0.249886
2.15206,2.13045,3.01E-05,0.248466
2.27625,2.1327,0.00132692,0.24709
2.15656,2.13307,3.55E-05,0.245757
2.03261,2.13153,0.000629964,0.244464
2.27625,2.13373,0.00130728,0.24321
2.27625,2.13589,0.00126784,0.241993
2.03686,2.1344,0.000612162,0.240814
2.02838,2.13281,0.000701624,0.239669
2.27625,2.13495,0.00128432,0.238558
2.03261,2.13343,0.000653769,0.23748
1.79364,2.12841,0.00720709,0.236434
2.03261,2.12385,0.00044088,0.760938
1.79364,2.10881,0.00680654,0.72867
2.04112,2.10376,0.000220143,1.19476
2.03261,2.09881,0.000315999,1.1139
2.03261,2.09449,0.000273532,1.04359
2.2858,2.10623,0.00228464,0.98189
2.14759,2.10863,0.000106786,0.927337
2.16108,2.11151,0.000171746,0.878767
2.03261,2.10739,0.000388564,0.835262
1.91713,2.09792,0.00225957,0.796079
2.27625,2.1064,0.00198506,0.760616
2.03261,2.10304,0.000339883,0.728376
1.92115,2.09509,0.00206518,0.698948
