Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-2.83,48,-972,1.072590517,17,908,-5.000632904,-7,80,,3.026028007
-2.93,50,-976,0.948516743,15,906,-4.820754805,-7,83,,3.158807043
-2.94,50,-972,0.820256063,13,908,-3.667779479,-5,78,,3.151863362
-2.93,50,-976,0.944348195,15,910,-2.070025812,-3,83,,3.14495011
-3.17,54,-976,0.948516743,15,906,-2.147580406,-3,80,,3.410936979
-3.06,52,-974,1.074957711,17,906,-3.667779479,-5,78,,3.284887931
-2.95,50,-970,0.950614847,15,904,-5.000632904,-7,80,,3.165781355
-3.07,52,-970,1.072590517,17,908,-2.202593011,-3,78,,3.277668288
-3.07,52,-970,0.818453548,13,910,-3.576326012,-5,80,,3.270480275
-3.06,52,-972,0.952722252,15,902,-4.879262373,-7,82,,3.299422949
-3.17,54,-974,0.946427879,15,908,-5.12817905,-7,78,,3.403441582
-2.83,48,-970,0.950614847,15,904,-3.764026063,-5,76,,3.039392462
-3.06,52,-972,0.952722252,15,902,-3.667779479,-5,78,,3.299422949
-3.19,54,-970,1.072590517,17,908,-3.489316746,-5,82,,3.403441582
-2.83,48,-970,0.820256063,13,908,-3.489316746,-5,82,,3.026028007
-2.72,46,-970,0.946427879,15,908,-0.734519317,-1,78,,2.900163426
-2.83,48,-970,0.946427879,15,908,-5.262383094,-7,76,,3.026028007
-3.05,52,-976,0.822066534,13,906,-5.000632904,-7,80,,3.284887931
-2.94,50,-972,0.570402405,9,904,-2.147580406,-3,80,,3.165781355
-2.83,48,-972,0.946427879,15,908,-3.489316746,-5,82,,3.026028007
-2.93,50,-976,1.074957711,17,906,-7.640388894,-11,82,,3.158807043
-2.82,48,-974,0.950614847,15,904,-2.095247665,-3,82,,3.039392462
-3.18,54,-972,0.692550996,11,910,-3.667779479,-5,78,,3.395979017
-3.17,54,-976,0.944348195,15,910,-5.000632904,-7,80,,3.395979017
-2.93,50,-978,0.948516743,15,906,-3.576326012,-5,80,,3.158807043
-2.94,50,-974,1.196108919,19,910,-5.000632904,-7,80,,3.14495011
-3.3,56,-970,1.074957711,17,906,-3.667779479,-5,78,,3.53695298
-2.94,50,-972,0.697147121,11,904,-3.44737879,-5,83,,3.165781355
-2.93,50,-978,0.820256063,13,908,-5.12817905,-7,78,,3.151863362
-3.16,54,-978,0.950614847,15,904,-6.41877172,-9,80,,3.418465424
-2.83,48,-972,0.950614847,15,904,-5.262383094,-7,76,,3.039392462
-3.06,52,-972,0.950614847,15,904,-3.865452131,-5,74,,3.292139415
-3.06,52,-974,0.948516743,15,906,-3.44737879,-5,83,,3.284887931
-2.93,50,-976,0.695608317,11,906,-3.44737879,-5,83,,3.158807043
-2.94,50,-972,0.948516743,15,906,-2.260496625,-3,76,,3.158807043
-2.93,50,-976,0.952722252,15,902,-2.147580406,-3,80,,3.1727865
-3.05,52,-976,0.948516743,15,906,-3.489316746,-5,82,,3.284887931
-2.95,50,-970,0.827546218,13,900,-4.879262373,-7,82,,3.179822684
-3.07,52,-970,0.823885015,13,904,-6.263475968,-9,82,,3.292139415
-2.47,42,-974,1.204045366,19,904,-5.12817905,-7,78,,2.660052982
-2.95,50,-970,1.077335376,17,904,-3.576326012,-5,80,,3.165781355
-3.18,54,-972,0.818453548,13,910,-3.667779479,-5,78,,3.395979017
-3.3,56,-970,1.079723582,17,902,-0.716158271,-1,80,,3.552597833
-2.95,50,-970,1.324883365,21,908,-3.865452131,-5,74,,3.151863362
-3.19,54,-968,0.825711559,13,902,-3.667779479,-5,78,,3.426027135
-2.94,50,-972,0.950614847,15,904,-3.667779479,-5,78,,3.165781355
-3.07,52,-970,1.079723582,17,902,-2.095247665,-3,82,,3.299422949
-2.72,46,-970,0.818453548,13,910,-5.000632904,-7,80,,2.893800286
-3.06,52,-972,0.946427879,15,908,-2.202593011,-3,78,,3.277668288
-2.83,48,-970,0.69407629,11,908,-3.667779479,-5,78,,3.026028007
-2.94,50,-974,0.822066534,13,906,-0.75384657,-1,76,,3.158807043
-3.17,54,-974,0.697147121,11,904,-2.147580406,-3,80,,3.418465424
-3.17,54,-974,0.823885015,13,904,-3.489316746,-5,82,,3.418465424
-3.06,52,-972,1.196108919,19,910,-3.667779479,-5,78,,3.270480275
-3.05,52,-976,0.825711559,13,902,-2.095247665,-3,82,,3.299422949
-3.07,52,-970,0.697147121,11,904,-5.12817905,-7,78,,3.292139415
-3.06,52,-972,0.948516743,15,906,-3.576326012,-5,80,,3.284887931
-2.83,48,-972,0.69407629,11,908,-6.581929264,-9,78,,3.026028007
-2.95,50,-970,0.822066534,13,906,-5.000632904,-7,80,,3.158807043
-2.94,50,-972,0.820256063,13,908,-3.667779479,-5,78,,3.151863362
-2.83,48,-972,0.69407629,11,908,-3.44737879,-5,83,,3.026028007
-3.07,52,-968,1.072590517,17,908,-3.667779479,-5,78,,3.277668288
-2.94,50,-972,0.944348195,15,910,-6.581929264,-9,78,,3.14495011
-3.19,54,-970,0.695608317,11,906,-3.44737879,-5,83,,3.410936979
-3.06,52,-974,1.077335376,17,904,-2.202593011,-3,78,,3.292139415
-2.83,48,-970,0.69407629,11,908,-3.576326012,-5,80,,3.026028007
-2.94,50,-974,0.944348195,15,910,-2.147580406,-3,80,,3.14495011
-3.17,54,-974,0.697147121,11,904,-2.202593011,-3,78,,3.418465424
